,parcelid,logerror,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,month_buyed,day_buyed,builded_buyed,county
5715,14712877,-0.0943,,,,3.0,3.0,,,3.0,,,1736.0,1736.0,,,,,6059.0,,3.0,2.0,0.0,,,33857285.0,-117943206.0,,,,,,,1,266.0,,60590111.012,24812.0,1286.0,,97041.0,0.0,,,,,,,,,257851.0,407097.0,2015.0,149246.0,4819.56,,,,1,28,778.0,0
6838,14366693,-0.1625,,,,3.5,3.0,,,3.5,,,2252.0,2252.0,,,,,6059.0,,3.0,2.0,422.0,,,33668124.0,-117677595.0,3646.0,,,,,,1,261.0,,60590524.222024,32380.0,1286.0,,96962.0,0.0,,1.0,,,,,,,351697.0,590768.0,2015.0,239071.0,6251.86,,,,2,1,781.0,0
9027,14618719,0.0315,,,,3.5,3.0,,,3.5,,,1873.0,1873.0,,,,,6059.0,,3.0,2.0,0.0,,,33683786.0,-117760332.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,268284.0,715411.0,2015.0,447127.0,10514.4,,,,2,11,791.0,0
12836,14423417,0.1293,,,,5.5,5.0,,,5.5,,,4152.0,4152.0,,,,,6059.0,,5.0,3.0,868.0,,,33495405.0,-117621693.0,11743.0,,,,,,1,261.0,,60590422.036,33840.0,1286.0,,96985.0,0.0,,1.0,,,,,,,,1157000.0,2015.0,1157000.0,20758.08,,,,2,29,809.0,0
13154,14608640,0.0325,,,,3.0,4.0,,,3.0,,,1853.0,1853.0,,,,,6059.0,,3.0,2.0,0.0,,,33525974.0,-117621817.0,,,,,,,1,266.0,,60590320.612,15554.0,1286.0,,96998.0,0.0,,,,,,,,,265248.0,597018.0,2015.0,331770.0,9610.02,,,,3,1,811.0,0
14353,14682103,-0.0294,,,,4.0,4.0,,,4.0,,,2147.0,2147.0,,,,,6059.0,,4.0,2.0,0.0,,,33708839.0,-117744298.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,335134.0,885237.0,2015.0,550103.0,13250.48,,,,3,6,816.0,0
16070,14675125,0.003,,,,3.0,3.0,,,3.0,,,1631.0,1631.0,,,,,6059.0,,3.0,2.0,0.0,,,33697293.0,-117711960.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,246871.0,652298.0,2015.0,405427.0,10497.6,,,,3,14,824.0,0
17339,14636237,-0.0336,,,,4.0,4.0,,,4.0,,,2156.0,2156.0,,,,,6059.0,,4.0,2.0,0.0,,,33705557.0,-117732531.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,329104.0,928341.0,2015.0,599237.0,13468.96,,,,3,17,827.0,0
18297,14618604,-0.0481,,,,2.0,2.0,,,2.0,,,1123.0,1123.0,,,,,6059.0,,2.0,1.0,0.0,,,33682979.0,-117760213.0,,,,,,,1,266.0,,60590524.184,52650.0,1286.0,276581.0,96954.0,0.0,,,,,,,,,167386.0,422381.0,2015.0,254995.0,8012.2,,,,3,22,832.0,0
18168,14355761,-0.0202,,,,4.0,4.0,,,4.0,,,2653.0,2653.0,,,,,6059.0,,4.0,2.0,438.0,,,33709907.0,-117745121.0,3975.0,,,,,,1,261.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,422347.0,1046685.0,2015.0,624338.0,15235.98,,,,3,22,832.0,0
19709,14639944,0.0218,,,,2.5,3.0,,,2.5,,,1845.0,1845.0,,,,,6059.0,,2.0,2.0,0.0,,,33905285.0,-117844108.0,,,,,,,1,266.0,,60590117.171,26531.0,1286.0,,97068.0,0.0,,1.0,,,,,,,281944.0,602649.0,2015.0,320705.0,7582.94,,,,3,28,838.0,0
20280,14618767,0.003,,,,2.0,2.0,,,2.0,,,1182.0,1182.0,,,,,6059.0,,2.0,2.0,0.0,,,33683319.0,-117759595.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,,,,,,,,187500.0,492175.0,2015.0,304675.0,8129.3,,,,3,29,839.0,0
20596,14618559,-0.005,,,,2.5,2.0,,,2.5,,,1441.0,1441.0,,,,,6059.0,,2.0,1.0,0.0,,,33682979.0,-117760213.0,,,,,,,1,266.0,,60590524.184,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,212580.0,511116.0,2015.0,298536.0,8384.42,,,,3,30,840.0,0
21364,14755718,-0.0121,,,,2.5,3.0,,,2.5,,,1579.0,1579.0,,,,,6059.0,,2.0,2.0,0.0,,,33908539.0,-117847414.0,,,,,,,1,266.0,,60590218.153048,17150.0,1286.0,,97037.0,0.0,,1.0,,,,,,,220596.0,564807.0,2015.0,344211.0,6983.86,,,,3,31,841.0,0
22229,14618798,-0.0555,,,,2.5,3.0,,,2.5,,,1948.0,1948.0,,,,,6059.0,,2.0,2.0,0.0,,,33685795.0,-117751400.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,294595.0,779688.0,2015.0,485093.0,11597.26,,,,4,4,844.0,0
23001,14608670,0.003,,,,2.5,3.0,,,2.5,,,1738.0,1738.0,,,,,6059.0,,2.0,2.0,0.0,,,33525974.0,-117621817.0,,,,,,,1,266.0,,60590320.612,15554.0,1286.0,,96998.0,0.0,,1.0,,,,,,,243953.0,361931.0,2015.0,117978.0,9226.64,,,,4,6,846.0,0
24311,14640247,0.0109,,,,2.5,3.0,,,2.5,,,2297.0,2297.0,,,,,6059.0,,2.0,4.0,0.0,,,33905385.0,-117809409.0,,,,,,,1,266.0,,60590218.222,21412.0,1286.0,,97078.0,0.0,,1.0,,,,,,,327700.0,648670.0,2015.0,320970.0,7839.74,,,,4,11,851.0,0
25145,14340785,0.0649,,,,4.5,4.0,,,4.5,,,4319.0,4319.0,,,,,6059.0,,4.0,2.0,653.0,,,33744505.0,-117762592.0,5900.0,,,,,,1,261.0,,60590524.201061,52650.0,1286.0,403127.0,96939.0,0.0,,1.0,,,,,,,859432.0,1719432.0,2015.0,860000.0,24988.82,,,,4,14,854.0,0
26048,14608639,0.005,,,,2.5,3.0,,,2.5,,,1738.0,1738.0,,,,,6059.0,,2.0,2.0,0.0,,,33632916.0,-117596626.0,,,,,,,1,266.0,,60590320.544016,15554.0,1286.0,,96993.0,0.0,,1.0,,,,,,,248827.0,547729.0,2015.0,298902.0,9028.12,,,,4,15,855.0,0
30629,14675212,0.0421,,,,3.0,4.0,,,3.0,,,1935.0,1935.0,,,,,6059.0,,3.0,2.0,0.0,,,33698267.0,-117713098.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,335832.0,745725.0,2015.0,409893.0,12208.04,,,,4,29,869.0,0
33262,13963558,0.0119,,,,4.5,5.0,,,4.5,,,2919.0,2919.0,,,,,6059.0,,4.0,2.0,435.0,,,33685009.0,-117755194.0,3659.0,,,,,,1,261.0,,60590524.184035,52650.0,1286.0,276486.0,96954.0,0.0,,1.0,,,,,,,534591.0,1111799.0,2015.0,577208.0,15422.3,,,,5,9,879.0,0
33435,14341101,0.0843,,,,4.5,4.0,,,4.5,,,3712.0,3712.0,,,,,6059.0,,4.0,2.0,551.0,,,33740417.0,-117762363.0,6467.0,,,,,,1,261.0,,60590524.201061,,1286.0,,96939.0,0.0,,1.0,,,,,,,826200.0,1618088.0,2015.0,791888.0,23259.08,,,,5,10,880.0,0
35337,14618595,0.003,,,,2.5,2.0,,,2.5,,,1573.0,1573.0,,,,,6059.0,,2.0,2.0,0.0,,,33683655.0,-117761342.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,234511.0,598000.0,2015.0,363489.0,9288.08,,,,5,16,886.0,0
37139,14356268,-0.0101,,,,3.0,4.0,,,3.0,,,2408.0,2408.0,,,,,6059.0,,3.0,2.0,425.0,,,33687845.0,-117758695.0,3570.0,,,,,,1,261.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,,,,,,,,403609.0,999106.0,2015.0,595497.0,14043.46,,,,5,20,890.0,0
40185,13920450,-0.0965,,,,3.0,4.0,,,3.0,,,2328.0,2328.0,,,,,6059.0,,3.0,2.0,431.0,,,33806984.0,-118009604.0,3676.0,,,,,,1,261.0,,60590878.012,42967.0,1286.0,,96203.0,0.0,,,,,,,,,360604.0,474258.0,2015.0,113654.0,8089.42,,,,5,27,897.0,0
40520,13858001,0.005,,,,2.5,3.0,,,2.5,,,1618.0,1618.0,,,,,6059.0,,2.0,2.0,494.0,,,33936600.0,-117951000.0,1449.0,,,,,,1,261.0,,60590011.033,,1286.0,,96186.0,0.0,,1.0,,,,,,,236793.0,316942.0,2015.0,80149.0,3845.76,,,,5,31,901.0,0
40519,13857997,0.0363,,,,2.5,3.0,,,2.5,,,1667.0,1667.0,,,,,6059.0,,2.0,2.0,405.0,,,33936700.0,-117951000.0,1420.0,,,,,,1,261.0,,60590011.033,,1286.0,,96186.0,0.0,,1.0,,,,,,,238754.0,318901.0,2015.0,80147.0,3867.38,,,,5,31,901.0,0
41163,14618742,0.0315,,,,3.5,3.0,,,3.5,,,1873.0,1873.0,,,,,6059.0,,3.0,2.0,0.0,,,33682729.0,-117759207.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,263029.0,671448.0,2015.0,408419.0,10055.48,,,,6,1,901.0,0
41067,14737546,0.001,,,,2.0,2.0,,,2.0,,,1225.0,1225.0,,,,,6059.0,,2.0,2.0,0.0,,,33669079.0,-117672715.0,,,,,,,1,266.0,,60590524.222,32380.0,1286.0,,96962.0,0.0,,,,,,,,,194481.0,464900.0,2015.0,270419.0,4871.4,,,,6,1,901.0,0
48805,14737525,-0.0151,,,,2.0,2.0,,,2.0,,,1225.0,1225.0,,,,,6059.0,,2.0,2.0,0.0,,,33669245.0,-117674525.0,,,,,,,1,266.0,,60590524.222024,32380.0,1286.0,,96962.0,0.0,,,,,,,,,194481.0,478755.0,2015.0,284274.0,5020.28,,,,6,23,923.0,0
54281,14355751,0.009,,,,3.0,4.0,,,3.0,,,2483.0,2483.0,,,,,6059.0,,3.0,2.0,420.0,,,33709469.0,-117744985.0,3525.0,,,,,,1,261.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,407929.0,988644.0,2015.0,580715.0,14632.26,,,,7,8,938.0,0
57566,14607759,-0.0151,,,,2.5,3.0,,,2.5,,,1578.0,1578.0,,,,,6059.0,,2.0,2.0,0.0,,,33528313.0,-117616653.0,,,,,,,1,266.0,,60590320.564012,52835.0,1286.0,,96998.0,0.0,,1.0,,,,,,,230563.0,561434.0,2015.0,330871.0,8665.36,,,,7,20,950.0,0
58487,14608555,-0.0346,,,,2.0,2.0,,,2.0,,,1212.0,1212.0,,,,,6059.0,,2.0,2.0,0.0,,,33538374.0,-117641716.0,,,,,,,1,266.0,,60590320.581,52835.0,1286.0,,96998.0,0.0,,,,,,,,,289982.0,356413.0,2015.0,66431.0,5521.16,,,,7,22,952.0,0
62257,14762189,0.5452,,,,2.0,3.0,,,2.0,,,1897.0,1897.0,,,,,6059.0,,2.0,,,,,33650679.0,-117844810.0,,,,,,,1,261.0,,60590626.143,52650.0,1286.0,275795.0,96951.0,0.0,,,,,,,,,276072.0,459250.0,2015.0,183178.0,4720.14,,,,8,2,962.0,0
62295,14607864,0.0392,,,,2.5,2.0,,,2.5,,,1500.0,1500.0,,,,,6059.0,,2.0,2.0,0.0,,,33542374.0,-117642116.0,,,,,,,1,266.0,,60590320.582,52835.0,1286.0,,96998.0,0.0,,1.0,,,,,,,215261.0,469200.0,2015.0,253939.0,7525.92,,,,8,2,962.0,0
62289,14618671,-0.001,,,,2.5,3.0,,,2.5,,,1567.0,1567.0,,,,,6059.0,,2.0,2.0,0.0,,,33685835.0,-117761343.0,,,,,,,1,266.0,,60590524.184035,52650.0,1286.0,276581.0,96954.0,0.0,,1.0,,,,,,,241069.0,626456.0,2015.0,385387.0,9605.0,,,,8,2,962.0,0
66223,13963564,-0.1684,,,,4.5,5.0,,,4.5,,,2919.0,2919.0,,,,,6059.0,,4.0,2.0,435.0,,,33684823.0,-117755135.0,3659.0,,,,,,1,261.0,,60590524.184035,52650.0,1286.0,276486.0,96954.0,0.0,,1.0,,,,,,,524120.0,1085756.0,2015.0,561636.0,15082.3,,,,8,15,975.0,0
71456,14712840,0.005,,,,3.5,4.0,,,3.5,,,2140.0,2140.0,,,,,6059.0,,3.0,,,,,33857285.0,-117943206.0,,,,,,,1,266.0,,60590111.012,24812.0,1286.0,,97041.0,0.0,,1.0,,,,,,,318292.0,543170.0,2015.0,224878.0,6240.24,,,,8,30,990.0,0
73631,14737519,-0.0141,,,,2.0,2.0,,,2.0,,,1225.0,1225.0,,,,,6059.0,,2.0,2.0,0.0,,,33669256.0,-117674527.0,,,,,,,1,266.0,,60590524.222024,32380.0,1286.0,,96962.0,0.0,,,,,,,,,194481.0,461537.0,2015.0,267056.0,4835.28,,,,9,7,997.0,0
76061,14712837,0.0208,,,,3.0,3.0,,,3.0,,,1736.0,1736.0,,,,,6059.0,,3.0,2.0,0.0,,,33857285.0,-117943206.0,,,,,,,1,266.0,,60590111.012,24812.0,1286.0,,97041.0,0.0,,,,,,,,,260851.0,521957.0,2015.0,261106.0,6006.92,,,,9,15,1005.0,0
5493,14600785,0.0649,,,,3.0,3.0,,,3.0,,,2290.0,2290.0,,,,,6059.0,,3.0,2.0,0.0,,,33675217.0,-117846392.0,,,,,,,1,266.0,,60590626.101,52650.0,1286.0,273096.0,96947.0,0.0,,,,,,,,,297446.0,827193.0,2015.0,529747.0,13184.54,,,,1,27,1137.0,0
7262,14635762,-0.0587,,,,3.0,4.0,,,3.0,,,1918.0,1918.0,,,,,6059.0,,3.0,2.0,0.0,,,33706033.0,-117732513.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,280658.0,829733.0,2015.0,549075.0,12614.48,,,,2,3,1143.0,0
7443,14683251,-0.0683,,,,2.0,2.0,,,2.0,,,1378.0,1378.0,,,,,6059.0,,2.0,2.0,0.0,,,33707531.0,-117747628.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,191450.0,512354.0,2015.0,320904.0,8824.88,,,,2,4,1144.0,0
9353,14685205,-0.0429,,,,2.0,2.0,,,2.0,,,1378.0,1378.0,,,,,6059.0,,2.0,2.0,0.0,,,33705509.0,-117742107.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,205284.0,558568.0,2015.0,353284.0,8965.7,,,,2,15,1155.0,0
9892,14636561,0.0507,,,,3.0,3.0,,,3.0,,,1922.0,1922.0,,,,,6059.0,,3.0,2.0,0.0,,,33697205.0,-117710503.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,234891.0,805613.0,2015.0,570722.0,12598.06,,,,2,17,1157.0,0
10960,13963323,-0.0243,,,,2.5,3.0,,,2.5,,,2647.0,2647.0,,,,,6059.0,,2.0,2.0,451.0,,,33705480.0,-117746613.0,3441.0,,,,,,1,261.0,,60590524.262,52650.0,1286.0,403197.0,96954.0,0.0,,1.0,,,,,,,472077.0,919139.0,2015.0,447062.0,13182.4,,,,2,22,1162.0,0
10860,14662448,-0.0492,,,,2.5,3.0,,,2.5,,,1868.0,1868.0,,,,,6059.0,,2.0,2.0,0.0,,,33647320.0,-117757674.0,,,,,,,1,266.0,,60590626.213009,52650.0,1286.0,,96952.0,0.0,,1.0,,,,,,,266148.0,723675.0,2015.0,457527.0,11260.68,,,,2,22,1162.0,0
10962,14153955,0.005,,,,2.5,3.0,,,2.5,,,1993.0,1993.0,,,,,6059.0,,2.0,2.0,486.0,,,33937486.0,-117901905.0,3532.0,,,,,,1,261.0,,60590015.061,17150.0,1286.0,,97035.0,0.0,,1.0,,,,,,,301145.0,700000.0,2015.0,398855.0,9012.08,,,,2,22,1162.0,0
11747,14608603,-0.0294,,,,2.5,3.0,,,2.5,,,1648.0,1648.0,,,,,6059.0,,2.0,2.0,0.0,,,33525974.0,-117621817.0,,,,,,,1,266.0,,60590320.612,15554.0,1286.0,,96998.0,0.0,,1.0,,,,,,,221787.0,501178.0,2015.0,279391.0,8417.06,,,,2,25,1165.0,0
12579,14603006,0.001,,,,2.5,2.0,,,2.5,,,1555.0,1555.0,,,,,6059.0,,2.0,2.0,0.0,,,33707739.0,-117952213.0,,,,,,,1,266.0,,60590992.513003,8384.0,1286.0,,97008.0,0.0,,1.0,,,,,,,203317.0,461704.0,2015.0,258387.0,5310.88,,,,2,29,1169.0,0
12533,14663549,-0.008,,,,2.0,2.0,,,2.0,,,1204.0,1204.0,,,,,6059.0,,2.0,2.0,0.0,,,33832335.0,-117905635.0,,,,,,,1,266.0,,60590874.011,16764.0,1286.0,275470.0,97024.0,0.0,,,,,,,,,173818.0,397675.0,2015.0,223857.0,4781.92,,,,2,29,1169.0,0
13683,14068954,-0.0274,,,,4.5,4.0,,,4.5,,,2609.0,2609.0,,,,,6059.0,,4.0,2.0,412.0,,,33711126.0,-118048185.0,3790.0,,,,,,1,261.0,,60590994.171032,25218.0,1286.0,,96967.0,0.0,,1.0,,,,,,,562955.0,1230265.0,2015.0,667310.0,13688.52,,,,3,3,1173.0,0
14131,14156553,-0.0192,,,,3.5,4.0,,,3.5,,,3573.0,3573.0,,,,,6059.0,,3.0,2.0,623.0,,,33928675.0,-117863498.0,6033.0,,,,,,1,261.0,,60590218.151007,17150.0,1286.0,,97035.0,0.0,,1.0,,,,,,,666674.0,1555467.0,2015.0,888793.0,19075.84,,,,3,4,1174.0,0
14653,14722372,-0.0141,,,,2.5,2.0,,,2.5,,,1598.0,1598.0,,,,,6059.0,,2.0,2.0,0.0,,,33579574.0,-117728246.0,,,,,,,1,266.0,,60590626.37101,37086.0,1286.0,,96974.0,0.0,,1.0,,,,,,,229699.0,489530.0,2015.0,259831.0,5022.84,,,,3,7,1177.0,0
15231,14662421,-0.0587,,,,2.5,3.0,,,2.5,,,1868.0,1868.0,,,,,6059.0,,2.0,2.0,0.0,,,33647078.0,-117748513.0,,,,,,,1,266.0,,60590626.213,52650.0,1286.0,,96952.0,0.0,,1.0,,,,,,,266148.0,720476.0,2015.0,454328.0,11228.1,,,,3,9,1179.0,0
16495,14460018,-0.1043,,,,3.0,3.0,,,3.0,,,2038.0,2038.0,,,,,6059.0,,3.0,2.0,552.0,,,33525713.0,-117621626.0,2989.0,,,,,,1,261.0,,60590320.612002,15554.0,1286.0,,96998.0,0.0,,,,,,,,,353237.0,525171.0,2015.0,171934.0,9169.3,,,,3,15,1185.0,0
16665,14386944,-0.0222,,,,4.5,5.0,,,4.5,,,3842.0,3842.0,,,,,6059.0,,4.0,2.0,585.0,,,33597907.0,-117727483.0,6160.0,,,,,,1,261.0,,60590626.41103,37086.0,1286.0,,96974.0,0.0,,1.0,,,,,,,651186.0,1138951.0,2015.0,487765.0,17421.26,,,,3,16,1186.0,0
17337,14675059,0.01,,,,2.0,2.0,,,2.0,,,1318.0,1318.0,,,,,6059.0,,2.0,2.0,0.0,,,33697890.0,-117714050.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,199930.0,531016.0,2015.0,331086.0,9240.82,,,,3,17,1187.0,0
17195,14683038,0.077,,,,1.5,1.0,,,1.5,,,1005.0,1005.0,,,,,6059.0,,1.0,,,,,33704352.0,-117743545.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,1.0,,,,,,,185537.0,374771.0,2015.0,189234.0,7003.78,,,,3,17,1187.0,0
17019,14460016,0.0526,,,,3.0,4.0,,,3.0,,,1856.0,1856.0,,,,,6059.0,,3.0,2.0,453.0,,,33525675.0,-117621603.0,2718.0,,,,,,1,261.0,,60590320.612002,15554.0,1286.0,,96998.0,0.0,,,,,,,,,320387.0,492321.0,2015.0,171934.0,8372.3,,,,3,17,1187.0,0
19557,14607796,-0.003,,,,2.5,1.0,,,2.5,,,1548.0,1548.0,,,,,6059.0,,2.0,2.0,0.0,,,33542374.0,-117642116.0,,,,,,,1,266.0,,60590320.582,52835.0,1286.0,,96998.0,0.0,,1.0,,,,,,,222095.0,428755.0,2015.0,206660.0,6946.6,,,,3,25,1195.0,0
19738,14608520,-0.064,,,,2.0,2.0,,,2.0,,,1212.0,1212.0,,,,,6059.0,,2.0,2.0,0.0,,,33526574.0,-117625317.0,,,,,,,1,266.0,,60590320.612,33840.0,1286.0,,96998.0,0.0,,,,,,,,,189451.0,489626.0,2015.0,300175.0,7349.4,,,,3,28,1198.0,0
20681,14603035,0.0354,,,,2.5,2.0,,,2.5,,,1555.0,1555.0,,,,,6059.0,,2.0,2.0,0.0,,,33707739.0,-117952664.0,,,,,,,1,266.0,,60590992.513003,8384.0,1286.0,,97008.0,0.0,,1.0,,,,,,,203317.0,480851.0,2015.0,277534.0,5442.74,,,,3,30,1200.0,0
20905,14607735,-0.009,,,,3.0,3.0,,,3.0,,,1505.0,1505.0,,,,,6059.0,,3.0,2.0,0.0,,,33542374.0,-117642116.0,,,,,,,1,266.0,,60590320.582,52835.0,1286.0,,96998.0,0.0,,,,,,,,,239334.0,530741.0,2015.0,291407.0,8308.52,,,,3,31,1201.0,0
22758,13871741,0.0315,,,,2.5,3.0,,,2.5,,,1821.0,1821.0,,,,,6059.0,,2.0,,,,,33863685.0,-117938506.0,2704.0,,,,,,1,261.0,,60590111.022,24812.0,1286.0,,97040.0,0.0,,1.0,,,,,,,277410.0,590806.0,2015.0,313396.0,6768.06,,,,4,5,1205.0,0
22649,14603009,0.0119,,,,2.5,3.0,,,2.5,,,1681.0,1681.0,,,,,6059.0,,2.0,2.0,0.0,,,33707739.0,-117951898.0,,,,,,,1,266.0,,60590992.513003,8384.0,1286.0,,97008.0,0.0,,1.0,,,,,,,216101.0,611988.0,2015.0,395887.0,6854.12,,,,4,5,1205.0,0
24702,14618697,-0.0492,,,,2.0,2.0,,,2.0,,,1182.0,1182.0,,,,,6059.0,,2.0,2.0,0.0,,,33694579.0,-117747613.0,,,,,,,1,266.0,,60590524.182,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,191734.0,509005.0,2015.0,317271.0,8304.34,,,,4,12,1212.0,0
24937,14640205,0.1231,,,,2.5,3.0,,,2.5,,,2676.0,2676.0,,,,,6059.0,,2.0,2.0,0.0,,,33905385.0,-117809409.0,,,,,,,1,266.0,,60590218.222,21412.0,1286.0,,97078.0,0.0,,1.0,,,,,,,344940.0,781923.0,2015.0,436983.0,9310.42,,,,4,13,1213.0,0
25214,14386952,-0.0965,,,,4.0,3.0,,,4.0,,,3197.0,3197.0,,,,,6059.0,,4.0,2.0,558.0,,,33598597.0,-117727870.0,8155.0,,,,,,1,261.0,,60590626.41103,37086.0,1286.0,,96974.0,0.0,,,,,,,,,560494.0,1128285.0,2015.0,567791.0,16568.72,,,,4,14,1214.0,0
25472,14196683,0.1398,,,,5.5,5.0,,,5.5,,,5132.0,5132.0,,,,,6059.0,,5.0,4.0,993.0,,,33901479.0,-117776631.0,30514.0,,,,,,1,261.0,,60590218.231012,21412.0,1286.0,,97078.0,0.0,,1.0,,,,,,,1213302.0,2136200.0,2015.0,922898.0,24117.96,,,,4,14,1214.0,0
27465,14636405,-0.0513,,,,2.5,3.0,,,2.5,,,1900.0,1900.0,,,,,6059.0,,2.0,2.0,0.0,,,33701868.0,-117734225.0,,,,,,,1,266.0,,60590524.262054,,1286.0,,96954.0,0.0,,1.0,,,,,,,280256.0,741916.0,2015.0,461660.0,11246.36,,,,4,21,1221.0,0
30553,14459926,-0.0377,,,,2.0,2.0,,,2.0,,,1625.0,1625.0,,,,,6059.0,,2.0,2.0,440.0,,,33525974.0,-117621817.0,5678.0,,,,,,1,261.0,,60590320.612,15554.0,1286.0,,96998.0,0.0,,,,,,,,,238579.0,592547.0,2015.0,353968.0,9100.98,,,,4,29,1229.0,0
36591,14675088,0.1035,,,,2.0,2.0,,,2.0,,,1318.0,1318.0,,,,,6059.0,,2.0,2.0,0.0,,,33697479.0,-117713311.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,202557.0,593145.0,2015.0,390588.0,9960.96,,,,5,19,1249.0,0
38320,14608546,-0.0747,,,,2.0,2.0,,,2.0,,,1212.0,1212.0,,,,,6059.0,,2.0,2.0,0.0,,,33538374.0,-117641716.0,,,,,,,1,266.0,,60590320.581,52835.0,1286.0,,96998.0,0.0,,,,,,,,,200891.0,507890.0,2015.0,306999.0,7550.46,,,,5,24,1254.0,0
39466,14607711,0.0305,,,,2.0,2.0,,,2.0,,,1361.0,1361.0,,,,,6059.0,,2.0,2.0,0.0,,,33542374.0,-117642116.0,,,,,,,1,266.0,,60590320.582,52835.0,1286.0,,96998.0,0.0,,,,,,,,,208452.0,441164.0,2015.0,232712.0,7307.56,,,,5,26,1256.0,0
40605,14649159,0.0315,,,,3.5,3.0,,,3.5,,,1710.0,1710.0,,,,,6059.0,,3.0,2.0,0.0,,,33650082.0,-117637083.0,,,,,,,1,266.0,,60590320.332002,12773.0,1286.0,,96996.0,0.0,,1.0,,,,,,,236956.0,532419.0,2015.0,295463.0,5584.36,,,,5,31,1261.0,0
40874,14746525,0.4574,,,,2.0,2.0,,,2.0,,,1472.0,1472.0,,,,,6059.0,,2.0,1.0,0.0,,,33651493.0,-117982971.0,,,,,,,1,266.0,,60590992.202017,25218.0,1286.0,,96964.0,0.0,,,,,,,,,223028.0,367192.0,2015.0,144164.0,4322.2,,,,5,31,1261.0,0
44996,14601061,-0.0346,,,,3.0,3.0,,,3.0,,,1832.0,1832.0,,,,,6059.0,,3.0,2.0,0.0,,,33675534.0,-117846433.0,,,,,,,1,266.0,,60590626.101,52650.0,1286.0,273096.0,96947.0,0.0,,,,,,,,,278484.0,724083.0,2015.0,445599.0,11733.26,,,,6,13,1273.0,0
47400,14685201,-0.008,,,,3.0,3.0,,,3.0,,,1518.0,1518.0,,,,,6059.0,,3.0,2.0,0.0,,,33705092.0,-117741960.0,,,,,,,1,266.0,,60590524.262052,52650.0,1286.0,403197.0,96954.0,0.0,,,,,,,,,213273.0,559240.0,2015.0,345967.0,10075.94,,,,6,20,1280.0,0
48952,14675134,0.0834,,,,2.0,2.0,,,2.0,,,1318.0,1318.0,,,,,6059.0,,2.0,2.0,0.0,,,33697405.0,-117711863.0,,,,,,,1,266.0,,60590524.262074,52650.0,1286.0,403196.0,96952.0,0.0,,,,,,,,,198590.0,530505.0,2015.0,331915.0,9306.12,,,,6,24,1284.0,0
